Country Name;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Austria;7,78000021;7,619999886;7,409999847;7,199999809;7,340000153;7,429999828;6,889999866;6,489999771;6,230000019;6,050000191;5,809999943;5,760000229;5,5;4,900000095;5,269999981;5,239999771;5,53000021;5,25;5,320000172;5,210000038;4,940000057;4,679999828;4,579999924;4,840000153;4,53000021;4,349999905;3,930000067;3,690000057;3,660000086;
Belgium;3;2,900000095;2,630000114;2,890000105;2,680000067;2,75;2,660000086;2,24000001;2,390000105;1,909999967;1,379999995;1,789999962;1,720000029;2,220000029;2,039999962;1,950000048;1,860000014;1,549999952;1,49000001;1,350000024;1,299999952;1,169999957;1,360000014;1,220000029;1,179999948;1,25;1,159999967;0,99000001;0,920000017;
Bulgaria;19,54000092;19;18,31999969;17,48999977;16,62000084;15,60000038;15,56000042;14,31999969;13,88000011;13,19999981;9,68999958;10,71000004;11,14000034;10,75;8,93999958;8,109999657;7,539999962;7,46999979;7,090000153;6,820000172;6,78000021;6,440000057;6,659999847;7,010000229;6,860000134;6,75;7,010000229;6,579999924;6,619999886;
Cyprus;12,63000011;12,15999985;11,86999989;11,10000038;10,81999969;9,550000191;8,340000153;7,239999771;6,25;5,409999847;4,840000153;5,25;5,190000057;5,099999905;4,739999771;4,260000229;4,389999866;4,230000019;3,930000067;3,799999952;3,829999924;2,910000086;3,109999895;4,429999828;4;3,640000105;2,529999971;2,170000076;2,410000086;
Czech Republic;8,180000305;8,079999924;7,800000191;6,949999809;6,639999866;6,21999979;5,789999962;5,550000191;5,309999943;5,21999979;4,869999886;4,900000095;4,510000229;4,449999809;3,980000019;3,75999999;3,579999924;3,170000076;3,119999886;3,099999905;2,99000001;3,049999952;3,029999971;2,75;2,930000067;2,900000095;2,799999952;2,799999952;2,660000086;
Germany;3,480000019;3,400000095;3,349999905;3,25999999;3,170000076;2,940000057;2,940000057;2,779999971;2,869999886;2,640000105;2,619999886;2,49000001;2,430000067;2,359999895;2,369999886;2,269999981;2,25999999;1,789999962;1,679999948;1,649999976;1,649999976;1,559999943;1,450000048;1,429999948;1,389999986;1,309999943;1,279999971;1,25;1,210000038;
Denmark;5,460000038;5,269999981;5,139999866;5,050000191;4,389999866;3,880000114;3,74000001;3,710000038;3,319999933;3,670000076;3,549999952;3,210000038;3,299999952;3,269999981;3,180000067;3,089999914;2,960000038;2,710000038;2,75999999;2,539999962;2,400000095;2,640000105;2,589999914;2,480000019;2,49000001;2,329999924;2,109999895;2,190000057;2,220000029;
Spain;10,22000027;9,960000038;9,779999733;9,489999771;8,989999771;8,359999657;8,039999962;7,699999809;7,210000038;6,690000057;6,559999943;6,010000229;5,710000038;5,480000019;5,300000191;4,809999943;4,519999981;4,050000191;4,130000114;4,199999809;4,099999905;4,21999979;4,300000191;4,239999771;4,119999886;4,21999979;4,349999905;4,199999809;4,03000021;
Estonia;19,25;18,09000015;16;14,14999962;10,18000031;9,720000267;9,68999958;9,300000191;8,579999924;6,360000134;6,340000153;6,599999905;6,239999771;5,059999943;5,190000057;5,059999943;4,78000021;3,900000095;4,050000191;4,21999979;4,409999847;4,489999771;4,260000229;3,859999895;3,900000095;3,890000105;3,529999971;3,289999962;3,170000076;
Finland;8,430000305;8,369999886;8,279999733;8,039999962;7,760000229;7,889999866;7,78000021;7,110000134;6,380000114;6,210000038;5,840000153;5,53000021;5,28000021;5,010000229;4,829999924;4,670000076;4,539999962;4,519999981;4,630000114;4,440000057;4,230000019;4,159999847;4,130000114;4,260000229;4,21999979;3,869999886;3,75999999;3,710000038;3,779999971;
