Country Name;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Austria;33,84000015;33,43000031;32,83000183;32,47000122;32,09999847;30,29999924;29,63999939;29,55999947;29,76000023;30,03000069;29,37000084;28,85000038;28,92000008;26,72999954;27,57999992;28,15999985;27,31999969;26,23999977;24,96999931;24,90999985;26,03000069;26,07999992;25,90999985;25,75;25,76000023;25,55999947;24,92000008;25,44000053;25,36000061;
Belgium;31,20999908;30,62999916;29,45999908;28,87999916;28,25;27,62999916;27,54999924;27,25;25,77000046;25,80999947;25,48999977;25,78000069;24,92000008;24,94000053;24,69000053;24,69000053;24,43000031;24,67000008;23,46999931;23,37999916;23,22999954;21,76000023;21,70000076;21,38999939;21,43000031;21,26000023;20,76000023;21,05999947;20,84000015;
Bulgaria;41,11999893;40,18999863;39,16999817;38,38000107;37,5;37,00999832;35,36000061;35,11999893;33,79000092;32,83000183;32,77000046;32,65999985;32,13000107;32,91999817;34,24000168;34,47000122;35,5;36,43000031;35,24000168;32,97999954;31,45999908;31,31999969;30,19000053;30,12000084;29,89999962;29,79000092;29,89999962;30,11000061;30,02000046;
Croatia;29,98999977;29,12000084;28,79000092;29,04000092;29,01000023;29,14999962;29,54000092;29,48999977;29,09000015;29,17000008;29,69000053;29,81999969;30,25;29,63999939;28,62999916;29,35000038;30,63999939;30,85000038;29,01000023;27,45000076;27,95000076;27,90999985;27,62999916;26,97999954;26,70999908;26,96999931;26,42000008;27,42000008;27,67000008;
Cyprus;29,34000015;28,5;27,13999939;26,14999962;25,53000069;25,03000069;24,54000092;24,37000084;24,11000061;23,77000046;23,69000053;23,18000031;22,87999916;23,37999916;24,04999924;22,64999962;22,52000046;23,04999924;21,81999969;20,39999962;20,89999962;20,17000008;17,55999947;16,52000046;16,22999954;17,04999924;17,04999924;16,65999985;18,44000053;
Czech Republic;44,93000031;44,09999847;43,54000092;42,68999863;42,25;42,00999832;41,56000137;41,50999832;40,56000137;39,95000076;40,52999878;40,13000107;39,88000107;39,29999924;39,49000168;39,97000122;40,22000122;40,52999878;38,56999969;37,99000168;38,45000076;38,11999893;37,50999832;38,04000092;38,02999878;38,06999969;38,06000137;37,5;37,25;
Denmark;26,89999962;26,68000031;26,10000038;26,51000023;27,07999992;26,39999962;26,23999977;26,45000076;26,93000031;25,34000015;25,38999939;23,48999977;23,14999962;23,69000053;23,88999939;23,32999992;23,51000023;23,26000023;20,56999969;19,87000084;20,04000092;19,77000046;19,63999939;19,37000084;19,42000008;19,04999924;18,94000053;18,90999985;18,54999924;
Finland;28,78000069;28,15999985;27,78000069;27,70999908;27,60000038;27,09000015;27,42000008;28,26000023;27,72999954;27,95000076;27,07999992;27,14999962;26,70000076;26,06999969;25,80999947;25,69000053;25,71999931;25,14999962;23,95000076;23,29999924;23;22,79000092;22,85000038;21,89999962;21,70000076;22,15999985;22,15999985;22,34000015;21,63999939;
France;28,38999939;28,09000015;27,51000023;26,82999992;26,94000053;26,51000023;26,55999947;26,32999992;26,29999924;26,27000046;26,03000069;25,39999962;24,13999939;24,25;23,78000069;23,79999924;23,31999969;23,25;22,67000008;22,25;22,17000008;21,76000023;21,30999947;20,53000069;20,31999969;20,22999954;20,40999985;20,23999977;20,43000031;
Germany;37,72000122;37,36999893;36,74000168;36,41999817;36;35,27000046;34,66999817;34,38999939;33,83000183;33,52999878;32,77999878;32,36999893;31,37999916;31,25;29,84000015;29,64999962;29,89999962;29,34000015;28,79999924;28,30999947;28,23999977;28,19000053;27,78000069;28,04999924;27,69000053;27,37999916;27,39999962;27,34000015;27,18000031;
