Country Name;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Austria;58,38000107;58,95000076;59,75999832;60,33000183;60,56000137;62,27000046;63,47000122;63,95000076;64,01000214;63,93000031;64,83000183;65,38999939;65,58000183;68,37000275;67,15000153;66,58999634;67,15000153;68,51000214;69,70999908;69,87999725;69,04000092;69,25;69,51999664;69,41000366;69,70999908;70,08999634;71,15000153;70,87000275;70,98999786
Belgium;65,80000305;66,48000336;67,91000366;68,23000336;69,06999969;69,62000275;69,80000305;70,51999664;71,83999634;72,27999878;73,12999725;72,43000031;73,36000061;72,83999634;73,27999878;73,34999847;73,72000122;73,77999878;75,04000092;75,26999664;75,47000122;77,06999969;76,94000244;77,38999939;77,38999939;77,48999786;78,08000183;77,94000244;78,23999786
Bulgaria;39,33000183;40,81000137;42,50999832;44,13000107;45,88999939;47,38999939;49,09000015;50,56999969;52,33000183;53,97000122;57,54000092;56,63000107;56,72999954;56,34000015;56,81999969;57,41999817;56,95999908;56,09999847;57,66999817;60,20999908;61,77000046;62,24000168;63,15000153;62,88000107;63,25;63,45999908;63,09000015;63,31000137;63,36000061
Cyprus;58,02999878;59,34000015;61;62,75;63,65000153;65,43000031;67,12000275;68,38999939;69,63999939;70,83000183;71,47000122;71,55999756;71,94000244;71,51999664;71,20999908;73,08999634;73,09999847;72,72000122;74,25;75,80000305;75,26999664;76,91999817;79,33000183;79,05000305;79,77999878;79,30999756;80,43000031;81,16999817;79,16000366
Czech Republic;46,88999939;47,81999969;48,65999985;50,36999893;51,11000061;51,77999878;52,65000153;52,93999863;54,11999893;54,84000015;54,59999847;54,97999954;55,61000061;56,25999832;56,54000092;56,27000046;56,20000076;56,29999924;58,31000137;58,91999817;58,56000137;58,83000183;59,45999908;59,20999908;59,04999924;59,02999878;59,13999939;59,70000076;60,09000015
Germany;58,79000092;59,22999954;59,91999817;60,31999969;60,83000183;61,79999924;62,38000107;62,83000183;63,29999924;63,83000183;64,59999847;65,15000153;66,19999695;66,38999939;67,79000092;68,08000183;67,84999847;68,87000275;69,51999664;70,04000092;70,12000275;70,25;70,77999878;70,51999664;70,91999817;71,30999756;71,31999969;71,41000366;71,61000061
Denmark;67,63999939;68,05000305;68,75;68,44000244;68,52999878;69,73000336;70,02999878;69,83999634;69,75;70,98999786;71,05999756;73,30000305;73,55999756;73,04000092;72,93000031;73,58000183;73,52999878;74,04000092;76,66999817;77,58999634;77,56999969;77,58999634;77,76999664;78,15000153;78,08000183;78,62000275;78,94999695;78,90000153;79,23000336
Spain;57,45000076;58,25999832;59,18000031;60,25;60,79999924;62,16999817;62,04999924;61,79000092;62,11999893;62,49000168;61,99000168;62,95999908;63,58000183;64,30999756;65,12999725;65,79000092;66,37999725;68,12999725;71,29000092;72,83000183;74,13999939;75,11000061;75,94999695;76,30999756;75,97000122;76,16999817;75,58999634;75,45999908;75,54000092
Estonia;43,70000076;45,90999985;50,75;53,34999847;55,59000015;56,63000107;56,86999893;57,75;59,79000092;58,65000153;59,90000153;63,59999847;63,06999969;60,97999954;60,72999954;61,40000153;60,09999847;60,83000183;64,5;65,47000122;63,15000153;64,40000153;65,47000122;65,98999786;65,44000244;66,37999725;66,51000214;67,05999756;68,12999725
Finland;62,79000092;63,47000122;63,93999863;64,25;64,65000153;65,01999664;64,80000305;64,62999725;65,88999939;65,83999634;67,08000183;67,33000183;68,02999878;68,91999817;69,37000275;69,63999939;69,75;70,33000183;71,43000031;72,26000214;72,77999878;73,05999756;73,01999664;73,84999847;74,06999969;73,98000336;74,08000183;73,94999695;74,58000183
France;65,58999634;66,18000031;67,04000092;67,98000336;68,16999817;68,66999817;68,80999756;69,26000214;69,45999908;69,58000183;69,90000153;70,47000122;71,61000061;71,87999725;72,58999634;72,45999908;73,22000122;74,01000214;74,40000153;74,83999634;74,91999817;75,31999969;75,62000275;76,62000275;76,97000122;76,91000366;76,98000336;77,26999664;77,04000092
Greece;52,88000107;53,61999893;54,52000046;55,56999969;56,36999893;56,84999847;57,68999863;58,86999893;59,61000061;60;61,06999969;61,97000122;62,41999817;65,16999817;65,44999695;66,26000214;66,23000336;66,63999939;67,16999817;68,01999664;69,95999908;70,44999695;70,75;71,44999695;72,16000366;72,37999725;72,51000214;72,48999786;73,05999756
Croatia;47,65000153;48,29999924;48,72999954;49,70999908;50,43999863;50,95999908;52,68999863;53,31000137;54,06000137;54,31000137;54,29999924;54,63000107;52,88000107;53,40000153;54,06999969;56,40999985;57;56,33000183;57,66999817;58,29000092;57,45999908;59,84000015;61,59000015;63,5;64,05999756;65,41999817;66,61000061;66,33999634;66,13999939
Hungary;52,77999878;53,66999817;56,81000137;57,86000061;58,83000183;58,54000092;58,95999908;57,88000107;58,68999863;59,75999832;59,38999939;59,74000168;61,22000122;61,79000092;62,65999985;62,91999817;62,90000153;63,45999908;64,23000336;64,76000214;64,27999878;65,15000153;65,33000183;64,81999969;64,76999664;64,51999664;63,43999863;62,72999954;63,18999863
Ireland;58,68000031;59,20000076;59,72999954;59,58000183;60,20999908;61,43000031;60,54000092;62,22000122;63,06000137;63,59000015;63,95999908;65,34999847;65,76000214;66,02999878;66,48999786;66,51999664;68,79000092;71,43000031;74,55999756;76,16000366;76,81999969;77,23000336;76,98999786;77,26000214;76,55000305;76,16999817;76,11000061;76,41999817;76,80000305
Italy;56,72999954;57,36000061;58,79999924;59,34000015;59,75999832;60,52000046;61,5;61,5;62,20999908;62,97999954;63,06000137;63,47999954;63,52000046;65,02999878;65,12000275;65,68000031;65,90000153;66,5;67,06999969;67,62000275;68,02999878;68,72000122;69,34999847;69,45999908;69,65000153;69,98999786;70,20999908;70,13999939;70,23999786
Lithuania;46,15999985;47,13999939;47,81000137;48,70999908;49,47000122;50,18999863;50,81999969;51,38000107;52,93999863;53,97999954;55,79000092;53,99000168;54,04999924;55,50999832;56,66999817;56,59999847;58,13000107;61,41999817;64,16999817;66,61000061;66,95999908;66,12000275;66,05000305;66,11000061;65,86000061;66,88999939;67,08000183;67,05000305;67,86000061
Luxembourg;69,36000061;70,02999878;70,37999725;69,87000275;70,87000275;74,41999817;74,33999634;75,47000122;76,05999756;76,76000214;77,05000305;77,94000244;77,98999786;79,19000244;80,97000122;81,48000336;81,23000336;83,05999756;85,73999786;85,55000305;85,41000366;86;86,37000275;87,58999634;86,43000031;86,93000031;87,84999847;87,19000244;88,51000214
