Year	Austria	Belgium	Bulgaria	Cyprus	Czech Republic	Germany	Denmark	Spain	Estonia	Finland	France	Greece	Croatia	Hungary	Ireland	Italy	Lithuania	Luxembourg	Latvia	Malta	Netherlands	Poland	Portugal	Romania	Slovak Republic	Slovenia	Sweden
1991	7,78000021	3	19,54000092	12,63000011	8,180000305	3,480000019	5,460000038	10,22000027	19,25	8,430000305	6,03000021	21,95999908	22,36000061	11,57999992	13,85000038	8,31000042	23,29000092	3,529999971	18,75	2,49000001	4,25	25,56999969	11,72999954	29,78000069	10,65999985	10,84000015	3,839999914
1992	7,619999886	2,900000095	19	12,15999985	8,079999924	3,400000095	5,269999981	9,960000038	18,09000015	8,369999886	5,730000019	21,59000015	22,57999992	11,26000023	13,51000023	8,010000229	23,40999985	3,380000114	19,03000069	2,450000048	4,170000076	25,12999916	11,53999996	32,97999954	10,43999958	10,75	3,769999981
1993	7,409999847	2,630000114	18,31999969	11,86999989	7,800000191	3,349999905	5,139999866	9,779999733	16	8,279999733	5,460000038	21,28000069	22,47999954	9,130000114	13,13000011	7,090000153	23,39999962	3,200000048	18,64999962	2,410000086	4,079999924	24,5	11,56000042	35,99000168	10,42000008	10,65999985	3,710000038
1994	7,199999809	2,890000105	17,48999977	11,10000038	6,949999809	3,25999999	5,050000191	9,489999771	14,14999962	8,039999962	5,190000057	20,80999947	21,25	8,75	12,57999992	6,900000095	22,95999908	3,160000086	18,28000069	2,359999895	3,99000001	23,70999908	11,76000023	39,04000092	10,17000008	11,56999969	3,609999895
1995	7,340000153	2,680000067	16,62000084	10,81999969	6,639999866	3,170000076	4,389999866	8,989999771	10,18000031	7,760000229	4,889999866	20,43000031	20,54999924	8,090000153	12,01000023	6,579999924	22,30999947	3,869999886	17,45999908	2,299999952	3,829999924	22,87999916	11,47999954	40,33000183	9,199999809	10,43999958	3,49000001
1996	7,429999828	2,75	15,60000038	9,550000191	6,21999979	2,940000057	3,880000114	8,359999657	9,720000267	7,889999866	4,820000172	20,28000069	19,88999939	8,220000267	11,23999977	6,130000114	21,70000076	2,650000095	17,28000069	2,25	3,779999971	21,97999954	12,19999981	37,95999908	8,899999619	10,22999954	3,25
1997	6,889999866	2,660000086	15,56000042	8,340000153	5,789999962	2,940000057	3,74000001	8,039999962	9,68999958	7,78000021	4,639999866	19,84000015	17,77000046	7,809999943	10,90999985	5,880000114	20,65999985	2,339999914	21,59000015	2,220000029	3,710000038	21,06999969	13,28999996	40,86999893	9,170000076	12,14000034	3,25
1998	6,489999771	2,24000001	14,31999969	7,239999771	5,550000191	2,779999971	3,710000038	7,699999809	9,300000191	7,110000134	4,409999847	17,88999939	17,20999908	7,340000153	9,100000381	5,769999981	19,55999947	2,920000076	19,03000069	2,170000076	3,49000001	20,26000023	13,93000031	41,97999954	8,140000343	12,06999969	3,049999952
1999	6,230000019	2,390000105	13,88000011	6,25	5,309999943	2,869999886	3,319999933	7,210000038	8,579999924	6,380000114	4,239999771	17,43000031	16,85000038	6,949999809	8,640000343	5,420000076	19,98999977	1,950000048	17,48999977	2,109999895	3,210000038	19,45000076	12,78999996	44,00999832	7,25	10,84000015	2,99000001
2000	6,050000191	1,909999967	13,19999981	5,409999847	5,21999979	2,640000105	3,670000076	6,690000057	6,360000134	6,210000038	4,139999866	17,39999962	16,52000046	6,460000038	7,949999809	5,230000019	19,23999977	2,440000057	14,93000031	2,039999962	3,279999971	18,67000008	12,68000031	45,20999908	6,940000057	9,600000381	2,910000086
