Year	Austria	Belgium	Bulgaria	Cyprus	Czech Republic	Germany	Denmark	Spain	Estonia	Finland	France	Greece	Croatia	Hungary	Ireland	Italy	Lithuania	Luxembourg	Latvia	Malta	Netherlands	Poland	Portugal	Romania	Slovak Republic	Slovenia	Sweden
1991	58,38000107	65,80000305	39,33000183	58,02999878	46,88999939	58,79000092	67,63999939	57,45000076	43,70000076	62,79000092	65,58999634	52,88000107	47,65000153	52,77999878	58,68000031	56,72999954	46,15999985	69,36000061	50,52000046	62,27000046	70,68000031	38,24000168	54,27000046	30,30999947	47,38000107	43,36999893	69,55000305
1992	58,95000076	66,48000336	40,81000137	59,34000015	47,81999969	59,22999954	68,05000305	58,25999832	45,90999985	63,47000122	66,18000031	53,61999893	48,29999924	53,66999817	59,20000076	57,36000061	47,13999939	70,02999878	51,81000137	62,50999832	71,16999817	40,04999924	54,81999969	29,92000008	49,34999847	44,34999847	70,08000183
1993	59,75999832	67,91000366	42,50999832	61	48,65999985	59,91999817	68,75	59,18000031	50,75	63,93999863	67,04000092	54,52000046	48,72999954	56,81000137	59,72999954	58,79999924	47,81000137	70,37999725	53,15000153	62,72000122	71,79000092	41,45999908	55,58000183	28,19000053	49,93000031	45,13999939	70,65000153
1994	60,33000183	68,23000336	44,13000107	62,75	50,36999893	60,31999969	68,44000244	60,25	53,34999847	64,25	67,98000336	55,56999969	49,70999908	57,86000061	59,58000183	59,34000015	48,70999908	69,87000275	53,56999969	62,95999908	72,66999817	42,83000183	55,75999832	28,11000061	50,13000107	46,04000092	70,87000275
1995	60,56000137	69,06999969	45,88999939	63,65000153	51,11000061	60,83000183	68,52999878	60,79999924	55,59000015	64,65000153	68,16999817	56,36999893	50,43999863	58,83000183	60,20999908	59,75999832	49,47000122	70,87000275	54,90000153	63,18999863	72,81999969	43,99000168	56,34000015	28,71999931	51,90000153	46,43000031	71,02999878
1996	62,27000046	69,62000275	47,38999939	65,43000031	51,77999878	61,79999924	69,73000336	62,16999817	56,63000107	65,01999664	68,66999817	56,84999847	50,95999908	58,54000092	61,43000031	60,52000046	50,18999863	74,41999817	55,47000122	63,59000015	73,05999756	45,25	56,52999878	30,52000046	51,56999969	47,79999924	70,87999725
1997	63,47000122	69,80000305	49,09000015	67,12000275	52,65000153	62,38000107	70,02999878	62,04999924	56,86999893	64,80000305	68,80999756	57,68999863	52,68999863	58,95999908	60,54000092	61,5	50,81999969	74,33999634	52,59000015	63,93999863	73,41000366	46,45000076	55,70000076	28,82999992	51,54999924	47,36000061	71,20999908
1998	63,95000076	70,51999664	50,56999969	68,38999939	52,93999863	62,83000183	69,83999634	61,79000092	57,75	64,62999725	69,26000214	58,86999893	53,31000137	57,88000107	62,22000122	61,5	51,38000107	75,47000122	53,91999817	64,27999878	73,76000214	47,61000061	50,86000061	29,25	52,41999817	48,41999817	71,05999756
1999	64,01000214	71,83999634	52,33000183	69,63999939	54,11999893	63,29999924	69,75	62,11999893	59,79000092	65,88999939	69,45999908	59,61000061	54,06000137	58,68999863	63,06000137	62,20999908	52,93999863	76,05999756	56,75	64,73000336	74,45999908	48,99000168	52,86000061	28,93000031	54,31999969	51,34999847	72,01999664
2000	63,93000031	72,27999878	53,97000122	70,83000183	54,84000015	63,83000183	70,98999786	62,49000168	58,65000153	65,83999634	69,58000183	60	54,31000137	59,75999832	63,59000015	62,97999954	53,97999954	76,76000214	58,31999969	65,20999908	75,13999939	50,27000046	52,88000107	29	55,81000137	52,75	72,73000336
